name,family,genus,species,authors,citationType,rank,reference,publication,publicationYear,referenceCollation,publicationId,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,publicationYearNote,remarks,url,source
Callianthe mourae,Malvaceae,Callianthe,mourae,(K.Schum.) Donnell,NA,Species,Syst. Bot. 37: 719 (2012),NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,77130210-1,NA,NA,https://powo.science.kew.org/taxon/77130210-1,POWO
Callianthe regnellii,Malvaceae,Callianthe,regnellii,(Miq.) Donnell,NA,Species,Syst. Bot. 37: 720 (2012),NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,77130217-1,NA,NA,https://powo.science.kew.org/taxon/77130217-1,POWO
Eriotheca platyandra,Malvaceae,Eriotheca,platyandra,A.Robyns,NA,Species,Bull. Jard. Bot. État Bruxelles 33: 158 (1963),NA,1963,NA,NA,NA,NA,NA,NA,NA,NA,95983-2,NA,NA,https://powo.science.kew.org/taxon/95983-2,POWO
Pavonia glaziovii,Malvaceae,Pavonia,glaziovii,(Ulbr.) Fryxell,NA,Species,Fl. Neotrop. Monogr. 76: 71 (1999),NA,1999,NA,NA,NA,NA,NA,NA,NA,NA,1010440-1,NA,NA,https://powo.science.kew.org/taxon/1010440-1,POWO
Pavonia velvetiana,Malvaceae,Pavonia,velvetiana,Krapov.,NA,Species,Bonplandia (Corrientes) 19: 42 (2010),NA,2010,NA,NA,NA,NA,NA,NA,NA,NA,77108649-1,NA,NA,https://powo.science.kew.org/taxon/77108649-1,POWO
Waltheria belizensis,Malvaceae,Waltheria,belizensis,J.G.Saunders,NA,Species,Novon 17: 79 (2007),NA,2007,NA,NA,NA,NA,NA,NA,NA,NA,60445912-2,NA,NA,https://powo.science.kew.org/taxon/60445912-2,POWO
Scleronema spruceanum,Malvaceae,Scleronema,spruceanum,Benth.,NA,Species,"J. Proc. Linn. Soc., Bot. 6: 109 (1862)",NA,1862,NA,NA,NA,NA,NA,NA,NA,NA,230852-2,NA,NA,https://powo.science.kew.org/taxon/230852-2,POWO
Triumfetta decaglandulata,Malvaceae,Triumfetta,decaglandulata,"J.M.Cardoso, A.Gil & A.J.Fernandes-Jr.",NA,Species,Phytotaxa 545: 288 (2022),NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,77297816-1,NA,NA,https://powo.science.kew.org/taxon/77297816-1,POWO
Ayenia krapovickasii,Malvaceae,Ayenia,krapovickasii,Cristóbal,NA,Species,Lilloana 4: 169 (1960),NA,1960,NA,NA,NA,NA,NA,NA,NA,NA,27539-2,NA,NA,https://powo.science.kew.org/taxon/27539-2,POWO
Callianthe megapotamica,Malvaceae,Callianthe,megapotamica,(A.Spreng.) Dorr,NA,Species,Monogr. Syst. Bot. Missouri Bot. Gard. 127: 1271 (2014),NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,77146519-1,NA,NA,https://powo.science.kew.org/taxon/77146519-1,POWO
Sterculia guapayensis,Malvaceae,Sterculia,guapayensis,Cuatrec.,NA,Species,Revista Acad. Colomb. Ci. Exact. 8: 484 (1952),NA,1952,NA,NA,NA,NA,NA,NA,NA,NA,245163-2,NA,NA,https://powo.science.kew.org/taxon/245163-2,POWO
Theobroma sinuosum,Malvaceae,Theobroma,sinuosum,Pav. ex Huber,NA,Species,"Bull. Herb. Boissier, sér. 2, 6: 274 (1906)",NA,1906,NA,NA,NA,NA,NA,NA,NA,NA,252471-2,NA,NA,https://powo.science.kew.org/taxon/252471-2,POWO
Callianthe torrendii,Malvaceae,Callianthe,torrendii,(Monteiro) Donnell,NA,Species,Syst. Bot. 37: 720 (2012),NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,77130225-1,NA,NA,https://powo.science.kew.org/taxon/77130225-1,POWO
Melochia longidentata,Malvaceae,Melochia,longidentata,Goldberg,NA,Species,Phytologia 43: 287 (1979),NA,1979,NA,NA,NA,NA,NA,NA,NA,NA,156986-2,NA,NA,https://powo.science.kew.org/taxon/156986-2,POWO
Peltaea parviflora,Malvaceae,Peltaea,parviflora,(Turcz.) Fryxell & Krapov.,NA,Species,Contr. Univ. Michigan Herb. 17: 179 (1990),NA,1990,NA,NA,NA,NA,NA,NA,NA,NA,282282-2,NA,NA,https://powo.science.kew.org/taxon/282282-2,POWO
Waltheria scabra,Malvaceae,Waltheria,scabra,(Colla) P.L.R.Moraes & Guglielmone,NA,Species,Harvard Pap. Bot. 18: 32 (2013),NA,2013,NA,NA,NA,NA,NA,NA,NA,NA,60461733-2,NA,NA,https://powo.science.kew.org/taxon/60461733-2,POWO
