name,family,genus,species,authors,citationType,rank,reference,publication,publicationYear,referenceCollation,publicationId,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,publicationYearNote,remarks,url,source
Octomeria imigiae,Orchidaceae,Octomeria,imigiae,"T.F.Santos, Toscano & E.C.Smidt",NA,Species,Phytotaxa 572: 276 (2022),NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,77308257-1,NA,NA,https://powo.science.kew.org/taxon/77308257-1,POWO
Oncidium emaculatum,Orchidaceae,Oncidium,emaculatum,Ravenna,NA,Species,Onira 11: 52 (2008),NA,2008,NA,NA,NA,NA,NA,NA,NA,NA,77098060-1,NA,NA,https://powo.science.kew.org/taxon/77098060-1,POWO
Pabstiella stictophylla,Orchidaceae,Pabstiella,stictophylla,(Schltr.) J.O.Caetano & L.R.S.Guim.,NA,Species,Lankesteriana 17: 96 (2017),NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,77164134-1,NA,NA,https://powo.science.kew.org/taxon/77164134-1,POWO
Pelexia geralia,Orchidaceae,Pelexia,geralia,"(Mytnik, Rutk. & Szlach.) J.M.H.Shaw",NA,Species,Orchid Rev. 122: 76 (2014),NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,77143991-1,NA,NA,https://powo.science.kew.org/taxon/77143991-1,POWO
Psilochilus hatschbachii,Orchidaceae,Psilochilus,hatschbachii,Kolan.,NA,Species,Ann. Bot. Fenn. 51: 83 (2014),NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,77139169-1,NA,NA,https://powo.science.kew.org/taxon/77139169-1,POWO
Stelis tweedieana,Orchidaceae,Stelis,tweedieana,Lindl.,NA,Species,Fol. Orchid. 8: 7 (1859),NA,1859,NA,NA,NA,NA,NA,NA,NA,NA,659190-1,NA,NA,https://powo.science.kew.org/taxon/659190-1,POWO
Habenaria guaraensis,Orchidaceae,Habenaria,guaraensis,J.A.N.Bat. & Bianch.,NA,Species,Brittonia 62: 71 (2010),NA,2010,NA,NA,NA,NA,NA,NA,NA,NA,77106612-1,NA,NA,https://powo.science.kew.org/taxon/77106612-1,POWO
Habenaria minuticalcar,Orchidaceae,Habenaria,minuticalcar,J.A.N.Bat. & Bianch.,NA,Species,Eur. J. Taxon. 891: 60 (2023),NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,77325126-1,NA,NA,https://powo.science.kew.org/taxon/77325126-1,POWO
Habenaria proiteana,Orchidaceae,Habenaria,proiteana,"J.A.N.Bat., A.A.Vale & Bianch.",NA,Species,Eur. J. Taxon. 891: 65 (2023),NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,77325125-1,NA,NA,https://powo.science.kew.org/taxon/77325125-1,POWO
Prosthechea marciliana,Orchidaceae,Prosthechea,marciliana,(Campacci) W.E.Higgins,NA,Species,Selbyana 29: 214 (2009),NA,2009,NA,NA,NA,NA,NA,NA,NA,NA,77101038-1,NA,NA,https://powo.science.kew.org/taxon/77101038-1,POWO
Sarcoglottis matogrossensis,Orchidaceae,Sarcoglottis,matogrossensis,Engels & E.C.Smidt,NA,Species,Phytotaxa 487: 172 (2021),NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,77215893-1,NA,NA,https://powo.science.kew.org/taxon/77215893-1,POWO
