name,family,genus,species,authors,citationType,rank,reference,publication,publicationYear,referenceCollation,publicationId,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,publicationYearNote,remarks,url,source
Ipomoea pseudocalystegia,Convolvulaceae,Ipomoea,pseudocalystegia,Hassl.,NA,Species,Repert. Spec. Nov. Regni Veg. 9: 151 (1911),NA,1911,NA,NA,NA,NA,NA,NA,NA,NA,129618-2,NA,NA,https://powo.science.kew.org/taxon/129618-2,POWO
Jacquemontia itatiayensis,Convolvulaceae,Jacquemontia,itatiayensis,(Kuntze) K.Schum.,NA,Species,Just's Bot. Jahresber. 26(1): 383 (1900),NA,1900,NA,NA,NA,NA,NA,NA,NA,NA,131120-2,NA,NA,https://powo.science.kew.org/taxon/131120-2,POWO
Ipomoea cryptica,Convolvulaceae,Ipomoea,cryptica,J.R.I.Wood & Scotland,NA,Species,Kew Bull. 70(3)-31: 92 (2015),NA,2015,NA,NA,NA,NA,NA,NA,NA,NA,77148134-1,NA,NA,https://powo.science.kew.org/taxon/77148134-1,POWO
Jacquemontia guianensis,Convolvulaceae,Jacquemontia,guianensis,(Aubl.) Meisn.,NA,Species,"C.F.P.von Martius & auct. suc. (eds.), Fl. Bras. 7: 301 (1869)",NA,1869,NA,NA,NA,NA,NA,NA,NA,NA,270175-1,NA,NA,https://powo.science.kew.org/taxon/270175-1,POWO
Ipomoea paludosa,Convolvulaceae,Ipomoea,paludosa,O'Donell,NA,Species,Lilloa 22: 495 (1950),NA,1950,NA,NA,NA,NA,NA,NA,NA,NA,129544-2,NA,NA,https://powo.science.kew.org/taxon/129544-2,POWO
Cuscuta cristata,Convolvulaceae,Cuscuta,cristata,Engelm.,NA,Species,Trans. Acad. Sci. St. Louis 1: 507 (1859),NA,1859,NA,NA,NA,NA,NA,NA,NA,NA,72809-2,NA,NA,https://powo.science.kew.org/taxon/72809-2,POWO
Ipomoea sericosepala,Convolvulaceae,Ipomoea,sericosepala,J.R.I.Wood & Scotland,NA,Species,Kew Bull. 70(3)-31: 21 (2015),NA,2015,NA,NA,NA,NA,NA,NA,NA,NA,77148114-1,NA,NA,https://powo.science.kew.org/taxon/77148114-1,POWO
Ipomoea amazonica,Convolvulaceae,Ipomoea,amazonica,(D.F.Austin & Staples) J.R.I.Wood & Scotland,NA,Species,Kew Bull. 70(3)-31: 27 (2015),NA,2015,NA,NA,NA,NA,NA,NA,NA,NA,77148116-1,NA,NA,https://powo.science.kew.org/taxon/77148116-1,POWO
Dichondra brachypoda,Convolvulaceae,Dichondra,brachypoda,Wooton & Standl.,NA,Species,Contr. U.S. Natl. Herb. 16: 160 (1913),NA,1913,NA,NA,NA,NA,NA,NA,NA,NA,79449-2,NA,NA,https://powo.science.kew.org/taxon/79449-2,POWO
Ipomoea paludicola,Convolvulaceae,Ipomoea,paludicola,J.R.I.Wood & Scotland,NA,Species,Kew Bull. 70(3)-31: 24 (2015),NA,2015,NA,NA,NA,NA,NA,NA,NA,NA,77148115-1,NA,NA,https://powo.science.kew.org/taxon/77148115-1,POWO
Ipomoea anisomeres,Convolvulaceae,Ipomoea,anisomeres,B.L.Rob. & Bartlett,NA,Species,Proc. Amer. Acad. Arts 43: 57 (1907),NA,1907,NA,NA,NA,NA,NA,NA,NA,NA,129150-2,NA,NA,https://powo.science.kew.org/taxon/129150-2,POWO
Aniseia luxurians,Convolvulaceae,Aniseia,luxurians,(Moric.) Athiê-Souza & Buril,NA,Species,Syst. Bot. 42: 593 (2017),NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,77167338-1,NA,NA,https://powo.science.kew.org/taxon/77167338-1,POWO
Ipomoea heptaphylla,Convolvulaceae,Ipomoea,heptaphylla,Sweet,NA,Species,"Hort. Brit., ed. 2: 372 (1830)",NA,1830,NA,NA,NA,NA,NA,NA,NA,NA,60457868-2,NA,NA,https://powo.science.kew.org/taxon/60457868-2,POWO
