name,family,genus,species,authors,citationType,rank,reference,publication,publicationYear,referenceCollation,publicationId,typeLocations,collectorTeam,collectionNumber,collectionDate1,distribution,locality,id,bhlLink,publicationYearNote,remarks,url,source,doi
Grammitis achilleifolia,Polypodiaceae,Grammitis,achilleifolia,(Kaulf.) R.M.Tryon & A.F.Tryon,NA,Species,Rhodora 84: 128 (1982),NA,1982,NA,NA,NA,NA,NA,NA,NA,NA,113043-2,NA,NA,NA,https://powo.science.kew.org/taxon/113043-2,POWO,NA
Serpocaulon lasiopus,Polypodiaceae,Serpocaulon,lasiopus,(Klotzsch) A.R.Sm.,NA,Species,Taxon 55: 928 (2006),NA,2006,NA,NA,NA,NA,NA,NA,NA,NA,77075102-1,NA,NA,NA,https://powo.science.kew.org/taxon/77075102-1,POWO,NA
Grammitis exigua,Polypodiaceae,Grammitis,exigua,(Fée) Brade,NA,Species,Sellowia 18: 79 (1966),NA,1966,NA,NA,NA,NA,NA,NA,NA,NA,113104-2,NA,NA,NA,https://powo.science.kew.org/taxon/113104-2,POWO,NA
Grammitis limula,Polypodiaceae,Grammitis,limula,(Christ) Lellinger,NA,Species,Proc. Biol. Soc. Washington 89: 714 (1977),NA,1977,NA,NA,NA,NA,NA,NA,NA,NA,17556110-1,NA,NA,NA,https://powo.science.kew.org/taxon/17556110-1,POWO,NA
Grammitis firma,Polypodiaceae,Grammitis,firma,(J.Sm.) C.V.Morton,NA,Species,Contr. U.S. Natl. Herb. 38: 110 (1967),NA,1967,NA,NA,NA,NA,NA,NA,NA,NA,113109-2,NA,NA,NA,https://powo.science.kew.org/taxon/113109-2,POWO,NA
Grammitis smithii,Polypodiaceae,Grammitis,smithii,(A.Rojas) Christenh.,NA,Species,Global Fl. 4: 49 (2018),NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,77182434-1,NA,NA,NA,https://powo.science.kew.org/taxon/77182434-1,POWO,NA
Pecluma dulcis,Polypodiaceae,Pecluma,dulcis,(Poir.) F.C.Assis & Salino,NA,Species,Phytotaxa 247: 242 (2016),NA,2016,NA,NA,NA,NA,NA,NA,NA,NA,77158516-1,NA,NA,NA,https://powo.science.kew.org/taxon/77158516-1,POWO,NA
Grammitis jungermannioides,Polypodiaceae,Grammitis,jungermannioides,(Klotzsch) Ching,NA,Species,"Bull. Fan Mem. Inst. Biol., Bot. 10: 240 (1941)",NA,1941,NA,NA,NA,NA,NA,NA,NA,NA,17395740-1,NA,NA,NA,https://powo.science.kew.org/taxon/17395740-1,POWO,NA
Grammitis linearifolia,Polypodiaceae,Grammitis,linearifolia,(Desv.) Steud.,NA,Species,Nomencl. Bot. 2: 187 (1824),NA,1824,NA,NA,NA,NA,NA,NA,NA,NA,17111380-1,NA,NA,NA,https://powo.science.kew.org/taxon/17111380-1,POWO,NA
Elaphoglossum longifolium,Polypodiaceae,Elaphoglossum,longifolium,(C.Presl) J.Sm.,NA,Species,Bot. Mag. 72(Companion): 17 (1846),NA,1846,NA,NA,NA,NA,NA,NA,NA,NA,17104150-1,NA,NA,NA,https://powo.science.kew.org/taxon/17104150-1,POWO,NA
Grammitis senilis,Polypodiaceae,Grammitis,senilis,(Fée) C.V.Morton,NA,Species,Contr. U.S. Natl. Herb. 38: 103 (1967),NA,1967,NA,NA,NA,NA,NA,NA,NA,NA,113209-2,NA,NA,NA,https://powo.science.kew.org/taxon/113209-2,POWO,NA
Campyloneurum costatum,Polypodiaceae,Campyloneurum,costatum,C.Presl,NA,Species,Tent. Pterid.: 190 (1836),NA,1836,NA,NA,NA,NA,NA,NA,NA,NA,17063070-1,NA,NA,NA,https://powo.science.kew.org/taxon/17063070-1,POWO,NA
Grammitis apiculata,Polypodiaceae,Grammitis,apiculata,(Kuntze) F.Seym.,NA,Species,Phytologia 31: 176 (1975),NA,1975,NA,NA,NA,NA,NA,NA,NA,NA,113058-2,NA,NA,NA,https://powo.science.kew.org/taxon/113058-2,POWO,NA
Grammitis melanosticta,Polypodiaceae,Grammitis,melanosticta,(Kunze) F.Seym.,NA,Species,Phytologia 31: 179 (1975),NA,1975,NA,NA,NA,NA,NA,NA,NA,NA,17439540-1,NA,NA,NA,https://powo.science.kew.org/taxon/17439540-1,POWO,NA
Grammitis xiphopteroides,Polypodiaceae,Grammitis,xiphopteroides,(Liebm.) A.R.Sm.,NA,Species,Amer. Fern J. 70: 26 (1980),NA,1980,NA,NA,NA,NA,NA,NA,NA,NA,113250-2,NA,NA,NA,https://powo.science.kew.org/taxon/113250-2,POWO,NA
Serpocaulon attenuatum,Polypodiaceae,Serpocaulon,attenuatum,(Humb. & Bonpl. ex Willd.) A.R.Sm.,NA,Species,Taxon 55: 927 (2006),NA,2006,NA,NA,NA,NA,NA,NA,NA,NA,77075087-1,NA,NA,NA,https://powo.science.kew.org/taxon/77075087-1,POWO,NA
